id,nom,desserte,pmr,ascenseur,escalator,gid,coordinates0,coordinates1,commune_gid
47416,1 Avenue Schneider,ZI2,false,false,false,9973,45.779941978017575,5.033519896353873,144
47481,10 Rue Saillant,ZI3 & ZI4,false,false,false,10781,45.77482484326358,4.938001184513102,171
47483,10 Rue Saillant,ZI3 & ZI4,false,false,false,10782,45.77441083827051,4.937349223891521,171
11877,11 Novembre 1918,93,false,false,false,3146,45.68865588290408,4.863246540511759,160
12203,11 Novembre 1918,93,false,false,false,3145,45.68871099110264,4.863197695634485,160
46391,12 juillet 1944,30,false,false,false,5362,45.660305380638725,4.983620880198425,112
46392,12 juillet 1944,30,false,false,false,5363,45.66026339879384,4.983572777721282,112
11232,18 Juin 1940,85,true,false,false,3627,45.7685020294103,4.990623279806773,179
11233,18 Juin 1940,85,true,false,false,3628,45.76852491632218,4.990847035362111,179
40856,19 Mars 1962,60,false,false,false,4606,45.70009303230887,4.859801954756459,160
40857,19 Mars 1962,60,true,false,false,4607,45.7001719384729,4.859895491171833,160
10525,1ere D.F.L.,46 & 49 & C19 & C20E,true,false,false,3471,45.750696870050824,4.814999276283259,82
11279,1ere D.F.L.,46 & 49 & C20E & PL3,true,false,false,3472,45.751105310203215,4.814140270495265,82
10524,1ere D.F.L.,C19,true,false,false,3470,45.75038259163819,4.814149389144633,82
11743,23 Aout 1944,T36,false,false,false,3103,45.66551262514979,4.951589416670138,175
11744,23 Aout 1944,T36,false,false,false,3102,45.666027451175026,4.951457095681334,175
1,24 Aout,87 & ZI1,true,false,false,792,45.68286426996224,4.909327661397976,129
2,24 Aout,87 & ZI1,true,false,false,791,45.682813540449175,4.909561329170756,129
37156,30 Rue Saillant,ZI3 & ZI4,true,false,false,4259,45.77813610650462,4.941700718936319,171
37157,30 Rue Saillant,ZI3 & ZI4,true,false,false,4260,45.7782344191032,4.941731105385928,171
40454,360 Avenue Schneider,ZI2,false,false,false,4589,45.78082597294317,5.026242968916574,179
43025,3eme Millenaire,93,true,false,false,4782,45.71655736819707,4.928374303824262,172
43026,3eme Millenaire,93,true,false,false,4781,45.71672546792544,4.928578952451566,172
47186,4 Chemins - La Salette,45,true,false,false,9175,45.750378335753275,4.79566530252326,82
5,4 Chemins - La Salette,90,true,false,false,797,45.74924882577795,4.796124098432522,82
6,4 Chemins - La Salette,90,true,false,false,796,45.74939737476589,4.795958323657433,82
3,4 Chemins - La Salette,C20 & C20E,true,false,false,793,45.749424768476864,4.795077676956234,82
10526,4 Chemins - La Salette,C20 & C20E,true,false,false,9777,45.74973735531447,4.796089233007883,82
9,8 Mai - Parc du Roy,33,true,false,false,798,45.81948157429481,4.865306799862814,161
47535,8 Mai - Parc du Roy,33,true,false,false,10047,45.82008257268543,4.865363799471772,176
10652,8 Mai 1945,67 & 95,true,false,false,9778,45.76721389965237,5.002077112661977,179
42614,99 chemin du Charbonnier,ZI1,false,false,false,4751,45.68922456867914,4.909881652811634,160
42615,99 chemin du Charbonnier,ZI1,false,false,false,4752,45.68925876917688,4.909960312310388,160
3254,Abattoirs,87 & ZI1,true,false,false,3012,45.6750825778955,4.919698721658344,129
3255,Abattoirs,87 & ZI1,true,false,false,3011,45.675203650282036,4.918741372671031,129
10177,Abondance,C11,true,false,false,3318,45.75289620227464,4.850000238258819,81
10179,Abondance,C11,true,false,false,9415,45.75262920683552,4.851323359332007,81
36324,Abricotiers,81,true,false,false,4189,45.57144435376089,4.793439226526562,166
20,Acacias,19,false,false,false,809,45.7805392067735,4.789133119108563,181
21,Acacias,19,true,false,false,808,45.78005320077144,4.788586713875906,181
34112,Achard,46 & 49,true,false,false,3937,45.74821045123923,4.80897312132369,192
34113,Achard,46 & 49,true,false,false,3936,45.748452673953835,4.809009717755306,192
47572,Aerop. St Ex. Air Parc,47,false,false,false,10016,45.712634353831696,5.07231151529797,47
47573,Aerop. St Ex. Air Parc,47,false,false,false,10017,45.71273243603041,5.072176582414549,47
47581,Aerop. St Ex. Cargo Port,47,false,false,false,10036,45.71181243346464,5.078039426583275,47
47582,Aerop. St Ex. Cargo Port,47,false,false,false,10037,45.71197342300729,5.0779754850775,47
46334,Aeroport St Exupery -Bus,47 & 48,false,false,false,10014,45.71865234269887,5.079150533458697,47
24,Agronomie,19 & 3 & 5 & PL3,true,false,false,811,45.774802202283844,4.785719058844167,181
47560,Agronomie,3 & 5 & 19,true,false,false,10434,45.77477624353261,4.785832126518843,181
10676,Ainay,S1,false,false,false,3507,45.753525002421384,4.825901820220229,83
10677,Ainay,S1,false,false,false,10279,45.753327176015326,4.825892870495476,83
10280,Alai,73,true,false,false,3371,45.75148542613419,4.766998863477472,134
10281,Alai,73,true,false,false,3370,45.75142609542027,4.766829096063231,134
29,Alai - La Raude,73E & C21 & C24E,true,false,false,814,45.75346214129893,4.775045246113876,134
30,Alai - La Raude,73E & C21 & C24E,true,false,false,813,45.75332942533996,4.774525047139467,134
11374,Albert Ferrus,87,true,false,false,3669,45.66437654792891,4.942394858006749,175
11375,Albert Ferrus,87,true,false,false,3670,45.66446586796633,4.942424758372383,175
32742,Albert Thomas - INSERM,C16,true,false,false,3902,45.743768023466075,4.876511907516341,85
33,Albigny Centre,43,true,false,false,816,45.86530007852957,4.834511378618755,132
34,Albigny Centre,43,true,false,false,815,45.8649490963028,4.834508300978192,132
39,Albigny Plaine,43,true,false,false,817,45.856441508265306,4.834825086911188,132
40,Albigny Plaine,43,true,false,false,818,45.85611573179478,4.834647697325599,132
47867,Albon,31 & 40 & PL2 & PL3,false,false,false,11124,45.763522128128216,4.831967172995093,83
3131,Alfred de Vigny,62,true,false,false,444,45.69939744296209,4.93675564040264,172
3132,Alfred de Vigny,62,true,false,false,443,45.699369872805434,4.936780030643796,172
33209,Alfred de Vigny,T2,true,false,false,446,45.69961633170631,4.936100675225197,172
33210,Alfred de Vigny,T2,true,false,false,445,45.69962303498107,4.93612604166862,172
42658,Allee de l'Eglise,68,false,false,false,4754,45.75902299798019,4.922765209291494,171
47400,Allee de l'Eglise,68,false,false,false,9967,45.75898792481363,4.923334285822028,171
47513,Allee des Hetres,21,true,false,false,9977,45.80558802936757,4.775032856308793,187
11798,Allee des Hetres,10 & 21 & GE4,true,false,false,3124,45.80544016394274,4.774339163078329,187
41063,Allee Dubost,S9,true,false,false,4636,45.704905686596156,4.785017473857693,163
30443,Allobroges,87 & ZI1,true,false,false,3808,45.67832452357087,4.916396373421536,129
47264,Allobroges,87 & ZI1,true,false,false,9346,45.67873952845986,4.915925277710459,129
31350,Allouche,S12,true,false,false,3844,45.77231262043937,4.830263567376782,80
2087,Ambroise Pare,C26 & C8,true,false,false,396,45.74182618370279,4.885294305835862,85
2088,Ambroise Pare,C26 & C8 & PL2,true,false,false,397,45.74165617971493,4.884357347772476,85
32158,Ambroise Pare,T2 & T5,true,false,false,9043,45.741487695772825,4.883908340017097,85
32159,Ambroise Pare,T2 & T5,true,false,false,9044,45.74155285032354,4.883952622703358,85
15,Ambroise Pare-Laennec,24,false,false,false,801,45.73694917168384,4.884668420663691,85
16,Ambroise Pare-Laennec,24,false,false,false,802,45.73784218640737,4.884918399883563,85
10941,Ambroise Pare-Laennec,34,false,false,false,800,45.737283082650904,4.884233964768691,85
17,Ambroise Pare-Seignemartin,24 & 34,true,false,false,803,45.736171204820316,4.882851418377526,85
46377,Amedee Ronin,30 & T36,false,false,false,5348,45.647668361670334,5.011634500488253,46
46378,Amedee Ronin,30 & T36,false,false,false,5349,45.64759736915204,5.011757601608791,46
47870,Ampere,71,false,false,false,11133,45.81671569781689,4.838444751717708,184
56,Ampere - Lavoisier,76 & ZI5,true,false,false,828,45.73178522014463,4.97034519963644,169
47267,Ampere - Lavoisier,76 & ZI5,true,false,false,9380,45.731856146266715,4.969958093274097,169
42745,Ampere Victor Hugo,A,false,true,false,2,45.75310085211966,4.829257117442078,83
46049,Ampere Victor Hugo,A,false,true,false,3,45.753119324390056,4.829175147863609,83
10698,Ampere Victor Hugo,S1,true,false,false,10282,45.75246546833968,4.829029806846584,83
