gid,nom,libofficiel,cp,insee,trigramme,is_metropole
132,ALBIGNY-SUR-SAONE,Albigny-sur-Sa�ne,69250,69003,ALB,True
122,ALIX,Alix,69380,69004,,False
29,AMBERIEUX,Amb�rieux,69480,69005,,False
124,ANSE,Anse,69480,69009,,False
76,ARS-SUR-FORMANS,Ars-sur-Formans,1480,1021,,False
118,BAGNOLS,Bagnols,69620,69017,,False
108,BALAN,Balan,1360,1027,,False
79,BEAUREGARD,Beauregard,1480,1030,,False
3,BEAUVALLON,Beauvallon,69700,69179,,False
109,BELMONT,Belmont-d�Azergues,69380,69020,,False
99,BEYNOST,Beynost,1700,1043,,False
7,BIRIEUX,Birieux,1330,1045,,False
102,BONNEFAMILLE,Bonnefamille,38090,38048,,False
35,BOURG-SAINT-CHRISTOPHE,Bourg-Saint-Christophe,1800,1054,,False
25,BRESSOLLES,Bressolles,1360,1062,,False
41,BRIGNAIS,Brignais,69530,69027,,False
90,BRINDAS,Brindas,69126,69028,,False
126,BRON,Bron,69500,69029,BRO,True
145,CAILLOUX-SUR-FONTAINES,Cailloux-sur-Fontaines,69270,69033,CLX,True
142,CALUIRE-ET-CUIRE,Caluire-et-Cuire,69300,69034,CAL,True
180,CHAMPAGNE-AU-MONT-D'OR,Champagne-au-Mont-d'Or,69410,69040,CHP,True
42,CHAPONNAY,Chaponnay,69970,69270,,False
44,CHAPONOST,Chaponost,69630,69043,,False
135,CHARBONNIERES-LES-BAINS,Charbonni�res-les-Bains,69260,69044,CHR,True
170,CHARLY,Charly,69390,69046,CHY,True
119,CHARNAY,Charnay,69380,69047,,False
30,CHASSE-SUR-RHONE,Chasse-sur-Rh�ne,38670,38087,,False
57,CHASSELAY,Chasselay,69380,69049,,False
169,CHASSIEU,Chassieu,69680,69271,CHA,True
87,CHATILLON,Ch�tillon,69380,69050,,False
36,CHAUSSAN,Chaussan,69440,69051,,False
117,CHAZAY-D'AZERGUES,Chazay-d'Azergues,69380,69052,,False
88,CHESSY,Chessy,69380,69056,,False
107,CIVRIEUX,Civrieux,1390,1105,,False
89,CIVRIEUX-D'AZERGUES,Civrieux-d'Azergues,69380,69059,,False
184,COLLONGES-AU-MONT-D'OR,Collonges-au-Mont-d'Or,69660,69063,COL,True
47,COLOMBIER-SAUGNIEU,Colombier-Saugnieu,69124,69299,,False
59,COMMUNAY,Communay,360,69272,,False
129,CORBAS,Corbas,69960,69273,COR,True
131,COUZON-AU-MONT-D'OR,Couzon-au-Mont-d'Or,69270,69068,COU,True
185,CRAPONNE,Craponne,69290,69069,CRA,True
139,CURIS-AU-MONT-D'OR,Curis-au-Mont-d'Or,69250,69071,CUR,True
22,DAGNEUX,Dagneux,1120,1142,,False
190,DARDILLY,Dardilly,69570,69072,DAR,True
148,DECINES-CHARPIEU,D�cines-Charpieu,69150,69275,DCI,True
100,DIEMOZ,Di�moz,38790,38144,,False
53,DOMMARTIN,Dommartin,69380,69076,,False
157,ECHALAS,�chalas,69700,69080,,False
181,ECULLY,�cully,69130,69081,ECU,True
6,EVEUX,�veux,69210,69083,,False
1,FARAMANS,Faramans,1800,1156,,False
177,FEYZIN,Feyzin,69320,69276,FEY,True
136,FLEURIEU-SUR-SAONE,Fleurieu-sur-Sa�ne,69250,69085,FLE,True
9,FLEURIEUX-SUR-L'ARBRESLE,Fleurieux-sur-l'Arbresle,69210,69086,,False
143,FONTAINES-SAINT-MARTIN,Fontaines-Saint-Martin,69270,69087,FSM,True
161,FONTAINES-SUR-SAONE,Fontaines-sur-Sa�ne,69270,69088,FSS,True
191,FRANCHEVILLE,Francheville,69340,69089,FRA,True
77,FRANS,Frans,1480,1166,,False
121,FRONTENAS,Frontenas,69620,69090,,False
43,GENAS,Genas,69740,69277,,False
149,GENAY,Genay,69730,69278,GEN,True
166,GIVORS,Givors,69700,69091,GIV,True
152,GLEIZE,Gleiz�,69400,69092,,False
95,GRENAY,Grenay,38540,38184,,False
58,GREZIEU-LA-VARENNE,Gr�zieu-la-Varenne,69290,69094,,False
167,GRIGNY,Grigny,69250,69096,GRI,True
91,HEYRIEUX,Heyrieux,38540,38189,,False
162,IRIGNY,Irigny,69540,69100,IRI,True
116,JANNEYRIAS,Janneyrias,38280,38197,,False
154,JARNIOUX,Jarnioux,69640,69101,,False
78,JASSANS-RIOTTIER,Jassans-Riottier,1480,1194,,False
144,JONAGE,Jonage,69330,69279,JON,True
17,JONS,Jons,69330,69280,,False
5,JOYEUX,Joyeux,1800,1198,,False
12,L'ARBRESLE,L'Arbresle,69210,69010,,False
106,LA BOISSE,La Boisse,1120,1049,,False
137,LA MULATIERE,La Mulati�re,69350,69142,MUL,True
133,LA TOUR-DE-SALVAGNY,La Tour-de-Salvagny,69890,69250,TOU,True
153,LACENAS,Lacenas,69640,69105,,False
15,LACHASSAGNE,Lachassagne,69480,69106,,False
40,LE MONTELLIER,Le Montellier,1800,1260,,False
60,LENTILLY,Lentilly,69210,69112,,False
111,LES CHERES,Les Ch�res,69380,69055,,False
150,LIMAS,Limas,69400,69115,,False
187,LIMONEST,Limonest,69760,69116,LIM,True
168,LISSIEU,Lissieu,69380,69117,LIS,True
158,LOIRE-SUR-RHONE,Loire-sur-Rh�ne,69700,69118,,False
27,LOZANNE,Lozanne,69380,69121,,False
113,LUCENAY,Lucenay,69480,69122,,False
93,LUZINAY,Luzinay,38200,38215,,False
164,LYON,Lyon,69000,69123,LYO,True
80,LYON 1ER,Lyon 1er Arrondissement,69001,69381,LY1,True
83,LYON 2EME,Lyon 2e Arrondissement,69002,69382,LY2,True
81,LYON 3EME,Lyon 3e Arrondissement,69003,69383,LY3,True
20,LYON 4EME,Lyon 4e Arrondissement,69004,69384,LY4,True
82,LYON 5EME,Lyon 5e Arrondissement,69005,69385,LY5,True
86,LYON 6EME,Lyon 6e Arrondissement,69006,69386,LY6,True
84,LYON 7EME,Lyon 7e Arrondissement,69007,69387,LY7,True
85,LYON 8EME,Lyon 8e Arrondissement,69008,69388,LY8,True
21,LYON 9EME,Lyon 9e Arrondissement,69009,69389,LY9,True
62,MARCILLY-D'AZERGUES,Marcilly-d'Azergues,69380,69125,,False
123,MARCY,Marcy,69480,69126,,False
193,MARCY-L'ETOILE,Marcy-l'�toile,69280,69127,MRC,True
19,MARENNES,Marennes,69970,69281,,False
16,MASSIEUX,Massieux,1600,1238,,False
31,MESSIMY,Messimy,69510,69131,,False
179,MEYZIEU,Meyzieu,69330,69282,MEY,True
52,MILLERY,Millery,69390,69133,,False
24,MIONNAY,Mionnay,1390,1248,,False
175,MIONS,Mions,69780,69283,MIO,True
105,MIRIBEL,Miribel,1700,1249,,False
75,MISERIEUX,Mis�rieux,1600,1250,,False
67,MONTAGNY,Montagny,69700,69136,,False
141,MONTANAY,Montanay,69250,69284,MON,True
10,MONTHIEUX,Monthieux,1390,1261,,False
28,MONTLUEL,Montluel,1120,1262,,False
120,MORANCE,Moranc�,69480,69140,,False
4,MORNANT,Mornant,69440,69141,,False
138,NEUVILLE-SUR-SAONE,Neuville-sur-Sa�ne,69250,69143,NEU,True
103,NEYRON,Neyron,1700,1275,,False
18,NIEVROZ,Ni�vroz,1120,1276,,False
65,ORLIENAS,Orli�nas,69530,69148,,False
178,OULLINS,Oullins,69600,69149,OUL,True
26,PARCIEUX,Parcieux,1600,1285,,False
130,PIERRE-BENITE,Pierre-B�nite,69310,69152,PIB,True
37,PIZAY,Pizay,1120,1297,,False
186,POLEYMIEUX-AU-MONT-D'OR,Poleymieux-au-Mont-d'Or,69250,69153,POL,True
63,POLLIONNAY,Pollionnay,69290,69154,,False
125,POMMIERS,Pommiers,69480,69156,,False
155,PORTE DES PIERRES DOREES,Porte des Pierres Dor�es,"69400, 69640",69159,,False
45,PUSIGNAN,Pusignan,69330,69285,,False
127,QUINCIEUX,Quincieux,69650,69163,QUI,True
