nom;nomreduit;insee;datecreation;datemajgraph;datemajalpha;trigramme;libofficiel;gid
FARAMANS;FARAMANS;01156;2002-06-18;;2017-09-08;;Faramans;1
SAINT-PIERRE-LA-PALUD;ST-PIERRE-LA-P;69231;2002-06-18;;2017-09-08;;Saint-Pierre-la-Palud;2
BEAUVALLON;BEAUVALLON;69179;2018-01-01;;2018-04-19;;Beauvallon;3
MORNANT;MORNANT;69141;2002-06-18;;2017-09-08;;Mornant;4
JOYEUX;JOYEUX;01198;2002-06-18;;2017-09-08;;Joyeux;5
EVEUX;EVEUX;69083;2002-06-18;;2017-09-08;;Éveux;6
BIRIEUX;BIRIEUX;01045;2002-06-18;;2017-09-08;;Birieux;7
SAINT-MARCEL;ST-MARCEL;01371;2002-06-18;;2017-09-08;;Saint-Marcel;8
FLEURIEUX-SUR-L'ARBRESLE;FLEURIEUX;69086;2002-06-18;;2017-09-08;;Fleurieux-sur-l'Arbresle;9
MONTHIEUX;MONTHIEUX;01261;2002-06-18;;2017-09-08;;Monthieux;10
SAINT-ANDRE-DE-CORCY;ST-ANDRE;01333;2002-06-18;;2017-09-08;;Saint-André-de-Corcy;11
L'ARBRESLE;L'ARBRESLE;69010;2002-06-18;;2017-09-08;;L'Arbresle;12
SAINT-GERMAIN-NUELLES;ST-GERMAIN-N;69208;2013-01-01;;2017-09-08;;Saint-Germain-Nuelles;13
SAINT-JEAN-DE-THURIGNEUX;ST-JEAN-DE-T;01362;2002-06-19;;2017-09-08;;Saint-Jean-de-Thurigneux;14
LACHASSAGNE;LACHASSAGNE;69106;2002-06-24;;2017-09-08;;Lachassagne;15
MASSIEUX;MASSIEUX;01238;1997-10-22;;2017-09-08;;Massieux;16
JONS;JONS;69280;1997-10-22;;2015-12-10;;Jons;17
NIEVROZ;NIEVROZ;01276;1997-10-22;;2017-09-08;;Niévroz;18
MARENNES;MARENNES;69281;1997-10-22;;2015-12-10;;Marennes;19
LYON 4EME;LYON 4;69384;1997-10-22;;2020-11-02;LY4;Lyon 4e Arrondissement;20
LYON 9EME;LYON 9;69389;1997-10-22;;2020-11-02;LY9;Lyon 9e Arrondissement;21
DAGNEUX;DAGNEUX;01142;1997-10-22;;2017-09-08;;Dagneux;22
TRAMOYES;TRAMOYES;01424;1997-10-22;;2017-09-08;;Tramoyes;23
MIONNAY;MIONNAY;01248;1997-10-22;;2017-09-08;;Mionnay;24
